Ano;Id;Mês;Battery Power;Confidence(1);Confidence(2);Erro;error perc;Int Memory;Prediction(Price Range);Price Range;Px Height;Px Width;Ram;Variavel;Vendas;Data
2023;71;9;1564;8,94E-06;0,999991057;0;0;26;2;2;117;1115;3742;1;1;9/2023
2024;72;10;1686;0,999981522;1,85E-05;0;0;28;1;1;599;1073;780;1;1;10/2024
2020;73;11;1494;0,999961107;3,89E-05;0;0;3;1;1;944;1003;1208;1;1;11/2020
2021;74;12;1444;1,47E-05;0,999985339;0;0;48;2;2;1092;1554;2540;1;1;12/2021
2022;75;1;972;9,49E-06;0,999990505;0;0;44;2;2;297;589;3925;1;1;1/2022
2023;76;2;1330;9,94E-06;0,999990058;0;0;52;2;2;462;1304;3269;1;1;2/2023
2024;77;3;1494;8,85E-06;0,999991149;0;0;24;2;2;979;1190;3614;1;1;3/2024
2020;78;4;915;0,997342055;0,002657945;0;0;33;1;1;503;986;2156;1;1;4/2020
2021;79;5;1269;0,038589832;0,961410168;0;0;41;2;2;406;1036;2341;1;1;5/2021
2022;80;6;1358;8,84E-06;0,999991162;0;0;20;2;2;1485;1655;3406;1;1;6/2022
2023;81;7;635;0,37041866;0,62958134;0;0;16;2;2;599;1299;2452;1;1;7/2023
2024;82;8;1160;0,99998424;1,58E-05;0;0;63;1;1;762;859;595;1;1;8/2024
2020;83;9;1760;1,58E-05;0,999984214;0;0;50;2;2;273;1704;2549;1;1;9/2020
2021;84;10;1345;0,999952934;4,71E-05;0;0;38;1;1;512;1465;1322;1;1;10/2021
2022;85;11;890;0,999982089;1,79E-05;0;0;44;1;1;1074;1873;751;1;1;11/2022
2023;86;12;809;0,999936646;6,34E-05;0;0;21;1;1;1453;1726;1274;1;1;12/2023
2024;87;1;718;0,999975568;2,44E-05;0;0;30;1;1;662;997;1601;1;1;1/2024
2020;88;2;1806;1,06E-05;0,999989446;0;0;54;2;2;347;727;3142;1;1;2/2020
2021;89;3;1811;0,999984049;1,60E-05;0;0;32;1;1;204;1132;348;1;1;3/2021
2022;90;4;1732;0,999912607;8,74E-05;0;0;12;1;1;824;881;1308;1;1;4/2022
2023;91;5;823;0,999983159;1,68E-05;0;0;60;1;1;822;1449;905;1;1;5/2023
2024;92;6;1462;0,999982685;1,73E-05;0;0;25;1;1;91;1478;824;1;1;6/2024
2020;93;7;1588;0,000869973;0,999130027;0;0;4;2;2;146;822;2506;1;1;7/2020
2021;94;8;928;0,999984399;1,56E-05;0;0;56;1;1;221;1243;666;1;1;8/2021
2022;95;9;1880;9,78E-06;0,999990224;0;0;18;2;2;71;699;3333;1;1;9/2022
2023;96;10;1768;8,77E-06;0,999991226;0;0;2;2;2;1303;1814;3256;1;1;10/2023
2024;97;11;965;0,999983573;1,64E-05;0;0;13;1;1;130;998;1138;1;1;11/2024
2020;98;12;1993;0,000358001;0,999641999;0;0;27;2;2;150;510;2437;1;1;12/2020
2021;99;1;1254;0,999975619;2,44E-05;0;0;45;1;1;1571;1956;606;1;1;1/2021
2022;100;2;1185;5,18E-05;0,999948244;0;0;31;2;2;837;1642;2447;1;1;2/2022
2023;101;3;534;9,52E-06;0,999990481;0;0;16;2;2;393;1199;3926;1;1;3/2023
2024;102;4;547;0,972886827;0,027113173;0;0;37;1;1;371;541;2705;1;1;4/2024
2020;103;5;1928;8,67E-06;0,999991326;0;0;19;2;2;691;1580;3777;1;1;5/2020
2021;104;6;1020;0,99997445;2,56E-05;0;0;7;1;1;870;1613;1142;1;1;6/2021
2022;105;7;1944;1,05E-05;0,999989456;0;0;31;2;2;1111;1362;2560;1;1;7/2022
2023;106;8;1918;0,00049108;0,99950892;0;0;10;2;2;1170;1543;1717;1;1;8/2023
2024;107;9;1654;0,999626504;0,000373496;0;0;11;1;1;1184;1719;1070;1;1;9/2024
2020;108;10;1310;0,999968312;3,17E-05;0;0;33;1;1;806;1016;1301;1;1;10/2020
2021;109;11;1726;8,43E-05;0,99991571;0;0;42;2;2;1221;1804;1868;1;1;11/2021
2022;110;12;535;0,097769195;0,902230805;0;0;54;2;2;710;939;2674;1;1;12/2022
2023;111;1;1825;8,77E-06;0,999991226;0;0;17;2;2;1621;1773;3130;1;1;1/2023
2024;112;2;730;1,59E-05;0,999984078;0;0;9;2;2;1371;1677;2787;1;1;2/2024
2020;113;3;1339;0,004110058;0,995889942;0;0;40;2;2;212;1269;2382;1;1;3/2020
2021;114;4;1028;0,951055728;0,048944272;0;0;30;1;1;1801;1923;1424;1;1;4/2021
2022;115;5;1092;0,999984382;1,56E-05;0;0;11;1;1;468;571;737;1;1;5/2022
2023;116;6;1066;0,999982873;1,71E-05;0;0;5;1;1;53;1504;1044;1;1;6/2023
2024;117;7;837;0,999984034;1,60E-05;0;0;51;1;1;638;1831;594;1;1;7/2024
2020;119;8;1680;0,99932352;0,00067648;0;0;37;1;1;679;1231;1459;1;1;8/2020
2021;120;9;618;0,999979699;2,03E-05;0;0;6;1;1;1314;1688;1051;1;1;9/2021
2022;121;10;874;0,999984454;1,55E-05;0;0;8;1;1;442;1248;582;1;1;10/2022
2023;122;11;1742;0,0001657;0,9998343;0;0;49;2;2;1134;1469;1947;1;1;11/2023
2024;123;12;1263;0,999971732;2,83E-05;0;0;64;1;1;178;1883;1183;1;1;12/2024
2020;124;1;797;0,953780171;0,046219829;0;0;18;1;1;888;1466;2052;1;1;1/2020
2021;125;2;1661;0,999983663;1,63E-05;0;0;29;1;1;536;861;591;1;1;2/2021
2022;126;3;1483;0,999124108;0,000875892;0;0;19;1;1;361;1552;1587;1;1;3/2022
2023;127;4;1671;0,003112519;0,996887481;0;0;61;2;2;263;848;2336;1;1;4/2023
2024;128;5;1206;0,003459591;0,996540409;0;0;30;2;2;1581;1713;1825;1;1;5/2024
2020;129;6;1603;0,998856285;0,001143715;0;0;17;1;1;430;1207;1637;1;1;6/2020
2021;130;7;1831;3,52E-05;0,999964773;0;0;44;2;2;437;1113;2460;1;1;7/2021
2022;131;8;709;1,07E-05;0,999989345;0;0;11;2;2;119;1531;3568;1;1;8/2022
2023;132;9;1175;1,24E-05;0,999987631;0;0;25;2;2;137;1501;3153;1;1;9/2023
2024;133;10;1135;9,94E-06;0,99999006;0;0;43;2;2;690;1589;3204;1;1;10/2024
2020;134;11;1191;0,999984245;1,58E-05;0;0;46;1;1;42;807;824;1;1;11/2020
2021;135;12;1800;0,99998311;1,69E-05;0;0;53;1;1;191;1108;656;1;1;12/2021
2022;136;1;852;0,999984592;1,54E-05;0;0;8;1;1;683;1349;315;1;1;1/2022
2023;137;2;1571;0,999983408;1,66E-05;0;0;30;1;1;805;956;586;1;1;2/2023
2024;138;3;644;0,001554851;0,998445149;0;0;30;2;2;1140;1654;2382;1;1;3/2024
2020;140;4;1271;0,999983216;1,68E-05;0;0;54;1;1;613;650;990;1;1;4/2020
2021;141;5;1177;0,999984615;1,54E-05;0;0;29;1;1;178;882;311;1;1;5/2021
2022;142;6;714;0,393388544;0,606611456;1;100;30;2;1;643;1527;2302;0;0;6/2022
2023;143;7;713;0,999983618;1,64E-05;0;0;42;1;1;1048;1123;928;1;1;7/2023
2024;144;8;1157;9,49E-06;0,999990505;0;0;27;2;2;1694;1798;2885;1;1;8/2024
2020;145;9;1308;1,06E-05;0,999989406;0;0;61;2;2;59;1215;3355;1;1;9/2020
2021;146;10;1058;0,999984465;1,55E-05;0;0;19;1;1;493;1247;418;1;1;10/2021
2022;147;11;793;9,95E-06;0,999990046;0;0;38;2;2;1226;1815;3139;1;1;11/2022
2023;148;12;787;2,25E-05;0,99997747;0;0;11;2;2;806;1423;2934;1;1;12/2023
2024;149;1;1034;9,25E-06;0,999990751;0;0;37;2;2;707;1199;3625;1;1;1/2024
2020;150;2;574;3,06E-05;0,999969437;0;0;38;2;2;286;1171;3269;1;1;2/2020
2021;151;3;1607;0,999980031;2,00E-05;0;0;20;1;1;776;1005;885;1;1;3/2021
2022;152;4;1254;8,88E-06;0,999991116;0;0;50;2;2;462;1013;3959;1;1;4/2022
2023;153;5;1355;0,999982951;1,70E-05;0;0;23;1;1;651;891;880;1;1;5/2023
2024;154;6;1628;9,91E-06;0,999990089;0;0;33;2;2;412;643;3361;1;1;6/2024
2020;155;7;1583;9,08E-06;0,999990918;0;0;42;2;2;275;862;3652;1;1;7/2020
2021;156;8;1404;0,985120653;0,014879347;0;0;44;1;1;1703;1880;1196;1;1;8/2021
2022;157;9;1489;0,318295572;0,681704428;1;100;9;2;1;923;1759;1663;0;0;9/2022
2023;158;10;1572;9,03E-06;0,999990973;0;0;8;2;2;577;1237;3461;1;1;10/2023
2024;159;11;1765;8,76E-06;0,999991245;0;0;11;2;2;835;1175;3695;1;1;11/2024
2020;160;12;1266;0,0001298;0,9998702;0;0;7;2;2;346;1468;2532;1;1;12/2020
2021;161;1;1762;3,38E-05;0,999966199;0;0;15;2;2;1103;1364;2183;1;1;1/2021
2022;162;2;727;1,08E-05;0,999989168;0;0;64;2;2;664;711;3654;1;1;2/2022
2023;163;3;1576;0,999984419;1,56E-05;0;0;58;1;1;400;631;336;1;1;3/2023
2024;164;4;1433;0,999984529;1,55E-05;0;0;4;1;1;281;799;258;1;1;4/2024
2020;165;5;1356;8,72E-06;0,999991284;0;0;29;2;2;1612;1983;3702;1;1;5/2020
2021;166;6;1053;0,999977559;2,24E-05;0;0;42;1;1;419;1261;1339;1;1;6/2021
2022;167;7;831;0,999983744;1,63E-05;0;0;55;1;1;172;1239;1075;1;1;7/2022
2023;168;8;1550;0,015754727;0,984245273;0;0;21;2;2;268;832;2338;1;1;8/2023
2024;169;9;1646;8,73E-06;0,999991267;0;0;41;2;2;1725;1932;3339;1;1;9/2024
2020;170;10;1925;4,83E-05;0,999951724;0;0;16;2;2;983;1087;2173;1;1;10/2020
2021;171;11;1589;8,65E-06;0,999991349;0;0;26;2;2;1673;1759;3970;1;1;11/2021
2022;172;12;1225;8,83E-06;0,999991166;0;0;13;2;2;759;1404;3836;1;1;12/2022
2023;173;1;1868;1,06E-05;0,999989437;0;0;42;2;2;347;660;3131;1;1;1/2023
2024;174;2;627;0,991246973;0,008753027;0;0;12;1;1;447;819;2476;1;1;2/2024
2020;175;3;1035;8,98E-06;0,999991021;0;0;40;2;2;757;1912;3548;1;1;3/2020
2021;176;4;1531;0,000151517;0,999848483;0;0;60;2;2;625;765;2524;1;1;4/2021
2022;177;5;1656;1,76E-05;0,999982414;0;0;16;2;2;320;899;2856;1;1;5/2022
2023;178;6;1658;9,53E-06;0,999990468;0;0;39;2;2;410;522;3483;1;1;6/2023
2024;179;7;1148;1,81E-05;0,999981861;0;0;58;2;2;606;688;3127;1;1;7/2024
2020;180;8;1709;0,048297913;0,951702087;0;0;58;2;2;956;1292;1781;1;1;8/2020
2021;181;9;1564;0,068025853;0,931974147;1;100;25;2;1;1259;1965;1496;0;0;9/2021
2022;182;10;894;2,73E-05;0,999972745;0;0;58;2;2;158;747;3305;1;1;10/2022
2023;183;11;864;0,988206044;0,011793956;0;0;35;1;1;663;1805;1904;1;1;11/2023
2024;184;12;1265;0,999975989;2,40E-05;0;0;49;1;1;275;687;1518;1;1;12/2024
2020;185;1;1558;0,999980981;1,90E-05;0;0;32;1;1;322;1385;878;1;1;1/2020
2021;186;2;1339;0,99997998;2,00E-05;0;0;21;1;1;833;1441;867;1;1;2/2021
2022;187;3;1969;0,999984092;1,59E-05;0;0;7;1;1;332;764;315;1;1;3/2022
2023;188;4;1469;0,00383827;0,99616173;0;0;58;2;2;1699;1850;1571;1;1;4/2023
2024;189;5;989;0,000344927;0,999655073;0;0;24;2;2;614;679;2819;1;1;5/2024
2020;190;6;1527;0,096029928;0,903970072;0;0;60;2;2;526;1116;2078;1;1;6/2020
2021;191;7;1042;0,000502355;0,999497645;0;0;11;2;2;68;1018;2826;1;1;7/2021
2022;192;8;984;0,999984255;1,57E-05;0;0;9;1;1;531;707;841;1;1;8/2022
2023;193;9;1136;1,06E-05;0,99998936;0;0;32;2;2;961;1030;3210;1;1;9/2023
2024;194;10;946;0,999975833;2,42E-05;0;0;26;1;1;273;891;1637;1;1;10/2024
2020;195;11;1945;1,06E-05;0,999989386;0;0;21;2;2;280;895;3015;1;1;11/2020
2021;196;12;1856;0,009857834;0,990142166;0;0;24;2;2;277;1155;2052;1;1;12/2021
2022;197;1;1824;8,74E-06;0,99999126;0;0;2;2;2;50;1105;3958;1;1;1/2022
2023;198;2;1735;0,000990104;0,999009896;0;0;34;2;2;149;876;2392;1;1;2/2023
2024;199;3;1872;0,999634887;0,000365113;0;0;17;1;1;1749;1767;724;1;1;3/2024
2020;200;4;1182;0,004090664;0,995909336;0;0;8;2;2;275;986;2563;1;1;4/2020
2021;201;5;999;0,999983115;1,69E-05;0;0;27;1;1;20;745;1344;1;1;5/2021
2022;202;6;1425;0,999983217;1,68E-05;0;0;35;1;1;150;1897;590;1;1;6/2022
2023;203;7;501;0,998238637;0,001761363;0;0;54;1;1;504;1089;2346;1;1;7/2023
2024;204;8;1536;0,213014855;0,786985145;0;0;13;2;2;22;1634;2020;1;1;8/2024
2020;205;9;1156;0,957936013;0,042063987;0;0;61;1;1;1214;1262;1796;1;1;9/2020
2021;206;10;856;0,72239092;0,27760908;0;0;14;1;1;395;1027;2439;1;1;10/2021
2022;207;11;1341;0,959461942;0,040538058;0;0;36;1;1;473;574;2200;1;1;11/2022
2023;208;12;1189;0,999984308;1,57E-05;0;0;7;1;1;79;615;841;1;1;12/2023
2024;209;1;1203;0,999977284;2,27E-05;0;0;11;1;1;35;510;1672;1;1;1/2024
2020;210;2;1251;0,99998358;1,64E-05;0;0;29;1;1;308;591;1052;1;1;2/2020
2021;211;3;1892;1,45E-05;0,999985508;0;0;47;2;2;1399;1564;2172;1;1;3/2021
2022;212;4;1395;0,003406554;0,996593446;0;0;23;2;2;213;705;2571;1;1;4/2022
2023;213;5;1839;0,999968177;3,18E-05;0;0;54;1;1;475;1493;927;1;1;5/2023
2024;214;6;1280;0,836674748;0,163325252;0;0;39;1;1;356;588;2335;1;1;6/2024
2020;215;7;1421;1,16E-05;0,999988371;0;0;57;2;2;781;1657;2775;1;1;7/2020
2021;216;8;553;9,69E-06;0,99999031;0;0;18;2;2;1287;1892;3300;1;1;8/2021
2022;217;9;865;0,000687024;0,999312976;0;0;59;2;2;805;1804;2361;1;1;9/2022
2023;218;10;1303;2,87E-05;0,999971251;0;0;10;2;2;1335;1873;2219;1;1;10/2023
2024;219;11;1791;0,999983785;1,62E-05;0;0;33;1;1;371;682;594;1;1;11/2024
2020;220;12;1945;0,999961255;3,87E-05;0;0;57;1;1;743;1753;732;1;1;12/2020
2021;221;1;888;1,01E-05;0,999989852;0;0;33;2;2;327;1683;3407;1;1;1/2021
2022;222;2;1100;0,999983084;1,69E-05;0;0;15;1;1;919;1344;757;1;1;2/2022
2023;223;3;1647;6,95E-05;0,999930521;0;0;38;2;2;193;1185;2532;1;1;3/2023
2024;224;4;1546;9,16E-06;0,999990841;0;0;6;2;2;91;1317;3521;1;1;4/2024
2020;225;5;1653;8,69E-06;0,999991312;0;0;37;2;2;447;1785;3955;1;1;5/2020
2021;226;6;1277;9,17E-06;0,999990834;0;0;35;2;2;309;1460;3559;1;1;6/2021
2022;227;7;1685;0,999980576;1,94E-05;0;0;16;1;1;120;1429;881;1;1;7/2022
2023;228;8;902;9,52E-06;0,999990481;0;0;63;2;2;364;1360;3654;1;1;8/2023
2024;229;9;1796;8,75E-06;0,999991254;0;0;44;2;2;1024;1363;3577;1;1;9/2024
2020;230;10;1547;0,999862085;0,000137915;0;0;57;1;1;347;957;1620;1;1;10/2020
2021;231;11;1615;1,51E-05;0,99998493;0;0;9;2;2;542;678;2948;1;1;11/2021
2022;232;12;1968;1,90E-05;0,999980999;0;0;22;2;2;861;1259;2323;1;1;12/2022
2023;233;1;1447;0,999983066;1,69E-05;0;0;9;1;1;737;1455;568;1;1;1/2023
2024;234;2;987;9,06E-06;0,999990936;0;0;61;2;2;581;820;3963;1;1;2/2024
2020;235;3;1979;0,99997592;2,41E-05;0;0;19;1;1;1331;1532;411;1;1;3/2020
2021;236;4;790;6,51E-05;0,99993485;0;0;11;2;2;347;730;3169;1;1;4/2021
2022;237;5;1329;0,614064907;0,385935093;0;0;23;1;1;380;682;2308;1;1;5/2022
2023;238;6;767;0,00862065;0,99137935;0;0;10;2;2;517;1995;2317;1;1;6/2023
2024;239;7;640;0,000163197;0,999836803;0;0;6;2;2;976;1353;2711;1;1;7/2024
2020;240;8;1837;0,999980515;1,95E-05;0;0;36;1;1;786;872;770;1;1;8/2020
2021;241;9;757;2,16E-05;0,999978407;0;0;64;2;2;114;819;3433;1;1;9/2021
2022;243;10;822;9,36E-06;0,999990639;0;0;51;2;2;667;860;3846;1;1;10/2022
2023;244;11;1283;0,000502566;0,999497434;0;0;47;2;2;372;692;2698;1;1;11/2023
2024;245;12;951;0,999982658;1,73E-05;0;0;15;1;1;854;935;1083;1;1;12/2024
2020;246;1;911;0,422035903;0,577964097;1;100;28;2;1;157;763;2638;0;0;1/2020
2021;247;2;878;1,26E-05;0,999987397;0;0;31;2;2;575;618;3497;1;1;2/2021
2022;248;3;623;1,23E-05;0,999987671;0;0;15;2;2;778;844;3510;1;1;3/2022
2023;249;4;1550;0,030655348;0,969344652;0;0;32;2;2;1541;1619;1571;1;1;4/2023
2024;250;5;1179;0,999984493;1,55E-05;0;0;32;1;1;85;1451;340;1;1;5/2024
2020;251;6;704;0,999980116;1,99E-05;0;0;29;1;1;1108;1509;1122;1;1;6/2020
2021;252;7;935;0,021000722;0,978999278;0;0;58;2;2;639;1087;2473;1;1;7/2021
2022;253;8;984;0,999980908;1,91E-05;0;0;42;1;1;1036;1611;898;1;1;8/2022
2023;254;9;1084;0,999893106;0,000106894;0;0;40;1;1;322;771;1945;1;1;9/2023
2024;255;10;1163;0,999898631;0,000101369;0;0;2;1;1;919;1076;1568;1;1;10/2024
2020;256;11;1325;8,74E-06;0,999991261;0;0;13;2;2;1353;1915;3707;1;1;11/2020
2021;257;12;1715;0,999883204;0,000116796;0;0;15;1;1;114;1849;1249;1;1;12/2021
2022;258;1;719;0,999984348;1,57E-05;0;0;6;1;1;405;1141;841;1;1;1/2022
2023;259;2;1271;0,999967365;3,26E-05;0;0;2;1;1;1260;1788;892;1;1;2/2023
2024;260;3;875;0,99998427;1,57E-05;0;0;23;1;1;300;1316;756;1;1;3/2024
2020;262;4;1176;0,999872082;0,000127918;0;0;62;1;1;674;1455;1534;1;1;4/2020
2021;263;5;510;0,937417925;0,062582075;0;0;35;1;1;382;1228;2509;1;1;5/2021
2022;264;6;668;0,999983554;1,64E-05;0;0;48;1;1;195;1292;1201;1;1;6/2022
2023;265;7;765;0,013674883;0,986325117;0;0;47;2;2;1277;1429;2243;1;1;7/2023
2024;266;8;1936;1,61E-05;0,999983869;0;0;46;2;2;667;1036;2552;1;1;8/2024
2020;267;9;737;2,35E-05;0,999976548;0;0;49;2;2;781;1463;2951;1;1;9/2020
2021;268;10;947;1,87E-05;0,9999813;0;0;22;2;2;1176;1220;2842;1;1;10/2021
2022;269;11;1426;0,991134659;0,008865341;0;0;12;1;1;1573;1694;1277;1;1;11/2022
2023;270;12;1449;0,999565039;0,000434961;0;0;10;1;1;1518;1883;1032;1;1;12/2023
2024;271;1;606;0,999983448;1,66E-05;0;0;53;1;1;465;1152;1223;1;1;1/2024
2020;272;2;1074;0,995840359;0,004159641;0;0;9;1;1;946;952;1948;1;1;2/2020
2021;273;3;1379;9,21E-06;0,999990792;0;0;36;2;2;538;1376;3426;1;1;3/2021
2022;274;4;1433;8,69E-06;0,999991308;0;0;27;2;2;1619;1651;3900;1;1;4/2022
2023;275;5;557;0,987470057;0,012529943;0;0;17;1;1;322;710;2623;1;1;5/2023
2024;276;6;1907;0,999982986;1,70E-05;0;0;55;1;1;713;1513;286;1;1;6/2024
2020;277;7;1673;9,16E-06;0,999990841;0;0;9;2;2;65;734;3669;1;1;7/2020
2021;278;8;1763;0,999975739;2,43E-05;0;0;10;1;1;238;1893;792;1;1;8/2021
2022;279;9;969;0,999984676;1,53E-05;0;0;45;1;1;491;589;404;1;1;9/2022
2023;280;10;764;0,00020588;0,99979412;0;0;13;2;2;361;511;3148;1;1;10/2023
2024;281;11;848;0,999984649;1,54E-05;0;0;8;1;1;7;1294;436;1;1;11/2024
2020;282;12;1608;0,999983051;1,69E-05;0;0;28;1;1;1013;1158;489;1;1;12/2020
2021;283;1;819;0,999983927;1,61E-05;0;0;11;1;1;438;822;1094;1;1;1/2021
2022;284;2;1702;0,999982759;1,72E-05;0;0;2;1;1;921;1351;435;1;1;2/2022
2023;285;3;1062;0,999980266;1,97E-05;0;0;39;1;1;571;817;1345;1;1;3/2023
2024;286;4;563;7,36E-05;0,999926399;0;0;41;2;2;1263;1716;2603;1;1;4/2024
2020;287;5;1992;9,17E-06;0,99999083;0;0;2;2;2;649;895;3206;1;1;5/2020
